trade_date,IF00,IF01,IF02,IF03,IH00,IH01,IH02,IH03,IC00,IC01,IC02,IC03,IM00,IM01,IM02,IM03
2018-07-02,2845.185237580375,2425.546609983931,2856.6133201450675,2547.667496270946,2071.5370799086313,1897.3797662778252,2175.5006244010033,2097.7483329571037,3186.5133460231054,1921.8671312685021,3057.316490784537,2045.3926333427148,,,,
2018-07-03,2855.5387721202787,2433.40475234889,2870.231837572589,2557.5793941287784,2087.618795850594,1912.8069382905257,2193.5940446673926,2116.253649700388,3214.0048337142853,1944.1081427749386,3088.676711823516,2065.8007455467045,,,,
2018-07-04,2826.514929393664,2409.6848040991067,2839.0299178968753,2534.348383524484,2072.9508571342985,1899.0036791212674,2176.806335141877,2097.3890064183997,3177.391170561941,1920.5722778588809,3048.652772131745,2035.5634201179362,,,,
2018-07-05,2803.431639271912,2388.5842366376437,2813.5167460073408,2514.0599675967333,2074.3646343599653,1899.1660704056114,2173.2622631309346,2090.561802183013,3074.17313041233,1855.524935987317,2947.6167292512982,1973.8392930030125,,,,
2018-07-06,2824.478168500568,2410.41240987364,2838.3403727106715,2533.8837633123976,2104.760844711807,1930.5075882840451,2213.9258262038506,2127.9317622082854,3091.5427521808483,1864.6650777022908,2965.7983360015237,1980.9196584615395,,,,
2018-07-09,2919.187550029522,2488.702791213414,2936.600561744688,2615.3471738314565,2168.7342641732407,1991.7291024818148,2284.620736316856,2199.9767332185456,3179.0156675618746,1922.1718026590013,3051.459328878424,2038.7287599699837,,,,
2018-07-10,2924.279452262261,2493.7960316351464,2942.2893095308677,2625.2590716892887,2163.962766036614,1985.0710598237022,2277.90565250665,2196.203804562148,3195.885444099644,1930.3217623548533,3067.0784272947253,2045.3093349255557,,,,
2018-07-11,2867.929067553278,2441.5539370236615,2879.023538696685,2569.1948994309255,2130.2088347738136,1953.2423680922354,2241.345751762193,2160.450813961046,3129.5309897177513,1889.3434603327203,3000.4532106126917,2004.6597073518947,,,,
2018-07-12,2949.229773202684,2516.2062894907694,2966.7681636410966,2645.547487617039,2177.5703718336595,1997.5751887182066,2290.2166394920278,2210.397202840977,3235.49817863648,1956.599669785403,3108.3226090502703,2077.0460318631885,,,,
2018-07-13,2950.417883723657,2513.4413875475434,2961.5965747445694,2641.6756525163237,2178.277260446493,1996.7632322964855,2290.589699703706,2207.8819170700453,3243.3707410207726,1959.722551538019,3111.6172626224584,2081.5441463897823,,,,
