trade_date,IF00,IF01,IF02,IF03,IH00,IH01,IH02,IH03,IC00,IC01,IC02,IC03,IM00,IM01,IM02,IM03
2018-07-02,2948.890313053835,2517.5159798849295,2963.837596599731,2641.830525920352,2165.729987568698,1985.3958423923903,2280.8901342000745,2198.7190903330797,3264.6141633275934,1970.6145537483626,3140.048902708382,2097.0376519813826,,,,
2018-07-03,2876.75503142336,2451.7404178671263,2888.504785006985,2574.4605951678986,2099.2824579623475,1922.5504153511788,2205.1589112294146,2123.080853935774,3236.8727530210394,1955.6094877662806,3111.6172626224584,2079.544984377963,,,,
2018-07-04,2870.8144788184973,2444.6098812767013,2883.3331961104577,2570.5887600671826,2105.6444554778486,1928.721284156259,2212.433585357138,2131.884354134035,3217.7536729449007,1945.326828336935,3095.021970555139,2065.8007455467045,,,,
2018-07-05,2858.254453311073,2435.4420485175824,2869.197519793284,2562.225596249637,2102.110012413681,1927.5845451658495,2207.5838026053225,2124.518160090592,3181.1400097925566,1921.3339563351287,3050.605159433783,2036.729597958164,,,,
2018-07-06,2864.0252758415113,2442.8636274178216,2883.6779687035596,2570.124139855097,2125.2606144839788,1951.293672680105,2235.5633184811823,2149.4913545305576,3153.7734834090643,1907.0144009816695,3026.0782939519354,2019.403527189063,,,,
2018-07-09,2921.9032312203162,2491.0311296919203,2939.1863561929517,2619.6836291442582,2169.2644306328657,1991.7291024818148,2284.620736316856,2200.8750495653067,3180.890087177182,1922.4003062018758,3053.2896919740842,2038.7287599699837,,,,
2018-07-10,2930.8989251648222,2499.9079201412255,2952.1153284342695,2635.1709695471213,2175.6264281483673,1995.9512758747644,2290.2166394920278,2205.1869680297614,3202.008548176316,1934.6633296694656,3074.5219038837436,2052.472998801242,,,,
2018-07-11,2887.2782960376876,2461.344814090965,2909.018754296543,2600.169580236651,2140.1052753534827,1964.7721492806752,2251.4183774775024,2167.9966712738415,3154.5232512551875,1905.491044029174,3027.298536015709,2030.065724585433,,,,
2018-07-12,2968.579001687094,2530.1763203618075,2983.1448618134327,2661.8091950400453,2194.8891428480806,2016.8997515551685,2307.0043490175435,2223.332958234341,3243.2457797130855,1959.7987193856438,3113.569649924496,2079.2950891264854,,,,
2018-07-13,2960.7714182635605,2523.918910700822,2978.83520439966,2654.6850184547284,2185.699590881245,2005.2075790823849,2298.983554466464,2218.1227234231246,3254.867181327993,1966.0444828908758,3121.3791991326466,2085.8756640820575,,,,
2018-07-16,2977.0655054083268,2536.433730022793,2986.592587744451,2662.273815252131,2192.4150327031634,2011.216056603121,2305.69863827667,2221.1769990021135,3261.9899758661627,1969.77670742449,3129.920893579061,2094.2055057979715,,,,
2018-07-17,2942.101110076849,2503.9825124786116,2946.9437395377427,2632.383248274606,2164.4929324962395,1986.3701900984559,2276.9730019774543,2196.203804562148,3250.8684194820034,1963.6071117668828,3115.5220372265335,2084.0430989045567,,,,
2018-07-18,2955.3400558819717,2515.4786837162364,2952.1153284342695,2635.1709695471213,2176.1565946079927,1997.088014865174,2292.4550007620965,2211.475182457091,3268.9878090966445,1976.2509744725967,3137.852466993589,2093.6224168778576,,,,
2018-07-19,2946.8535521607396,2531.9225742206872,2942.9788547170715,2624.02008445706,2172.2687072374083,1991.7291024818148,2287.79174811612,2200.5157230266022,3240.871514867029,1959.4178801475198,3111.6172626224584,2076.4629429430747,,,,
2018-07-20,2976.734271997707,2566.4780259396125,3005.419012965126,2724.0125364773,2188.6695666155206,2039.032721292563,2333.178569741073,2246.742390026281,3265.2885933831944,1985.4445019452608,3190.0226995600915,2181.4046231856087,,,,
2018-07-23,3011.4688272207645,2568.533557539335,3010.1000809403245,2740.013773314813,2237.2281895134042,2058.2090870463308,2359.6157989864632,2270.231875508599,3287.506593554672,1989.1344905654403,3167.116780468616,2187.1232721024444,,,,
2018-07-24,3075.4625397992063,2623.739263360462,3079.102490352503,2802.592867877366,2278.1940095581645,2094.774191237837,2399.4578205252906,2312.0108840382177,3362.997298682761,2037.6424659682148,3253.013977061649,2234.172156372773,,,,
2018-07-25,3069.1316110147077,2621.6837317607387,3073.5545579374534,2798.6321656898626,2271.6606675682674,2090.548890309041,2394.617201085994,2301.9695772671503,3366.0270259788717,2041.3324545883943,3246.6650538352073,2226.9805221288734,,,,
2018-07-26,3065.196168797317,2619.9218475324055,3073.901303713394,2799.8995903898635,2275.7219342106355,2090.8739134574093,2395.1757340982203,2308.962630197001,3350.373434948967,2031.1081111199803,3239.8181758459077,2221.261873212038,,,,
2018-07-27,3030.11940120753,2590.557110393508,3039.920217671216,2767.5802605398367,2246.0570300402924,2066.3346657555544,2365.759662120955,2277.942164636383,3332.5737870843172,2019.4231471560793,3220.0244740222956,2205.318973201466,,,,
2018-07-30,3035.9370114419335,2596.430057821288,3050.495963837404,2775.343236827343,2265.303902388908,2085.0234967867686,2388.1009826100176,2294.2592881393666,3310.7345028248533,2006.815686037133,3199.8573061265406,2192.408690040732,,,,
2018-07-31,3022.248516772748,2584.537339280034,3034.3722852561664,2763.144274089833,2260.5363285043886,2080.7981958579726,2383.0741854999783,2293.0041247929835,3285.865491269279,1990.5182362980077,3170.22899773648,2170.8337873090345,,,,
2018-08-01,3038.845816559135,2598.4855894210104,3050.3225909494336,2777.4028019648445,2275.7219342106355,2093.9616333669146,2399.2716428545486,2309.321248295968,3307.326059616729,2002.818198365272,3193.1349168279553,2185.9102253625097,,,,
