Unnamed: 0,Features,XGBoost_Importance,LightGBM_Importance,CatBoost_Importance,Total_Importance,IC mean,IC std,IR,t_value,p,IC Skew,IC kurtosis,Alpha_index,IC mean abs,topsis_score
1,alpha002,1.5145442,1.9433250287283328,-0.1192988593766389,1.1128568059775423,0.0390789519734272,0.5771408932483922,0.0677112858066155,9.43279212661509,4.430609196700639e-21,-0.0795945113217662,-1.278429988037377,alpha002,0.0390789519734272,0.6224802396955597
90,alpha165,0.94430757,2.459197142697477,4.408880046757554,2.604128251714706,0.0121522391212398,0.6561723351494042,0.0185198894715255,2.579987449828053,0.0098876724608253,-0.025395002234888,-1.5068509223457691,alpha165,0.0121522391212398,0.5979722016896857
99,alpha183,0.75138015,2.595751525806957,2.381411420112626,1.909514363823119,0.0158946972533004,0.6578010792248942,0.0241633797135596,3.366176482978659,0.0007636577588052,-0.0399581938547901,-1.5036496870183944,alpha183,0.0158946972533004,0.5689115901931421
109,alpha096,0.89928424,1.1088260208370702,1.4732502314068696,1.1604534986092063,0.0245180499086195,0.6587383929992822,0.0372197068960671,5.185040484489528,2.181352041487489e-07,-0.0615812847528708,-1.4772097522518148,alpha096,0.0245180499086195,0.5332978829177146
89,alpha164,0.75999594,1.3212439501184825,6.2004865923807815,2.760575493282225,0.0029574774012132,0.5195793634661859,0.0056920609423043,0.792955369273702,0.4278135203198192,0.0044018487815031,-1.1243924811772956,alpha164,0.0029574774012132,0.527887603487074
120,alpha049,0.8436372,2.2012610857129054,2.8814285361820158,1.9754422833023355,-0.0212695924302074,0.6450006184443452,-0.0329760806764912,-4.593865121099798,4.378462596021926e-06,0.0497765489276041,-1.450749444219128,alpha049,0.0212695924302074,0.5084245382843636
111,alpha191,-0.23181292,-0.2870632287264968,-0.4561403279300617,-0.3250054936010702,0.0457829928128553,0.5992862541824302,0.0763958667386995,10.642632490200524,2.2313973165435844e-26,-0.0965279886146353,-1.3410716032543748,alpha191,0.0457829928128553,0.5011997656273517
10,alpha013,0.65663785,-0.0442998809763112,0.3550606418785514,0.3224662027752645,0.0331929883986976,0.5435547183465744,0.0610665077099625,8.507114674672623,1.9108307441092912e-17,-0.0712123206683862,-1.2033923252947167,alpha013,0.0331929883986976,0.5007170158730082
125,alpha052,1.7278906,0.6839901622742454,1.089441763600712,1.1671075121899477,0.0172953471446194,0.6498920748938688,0.0266126451033333,3.70738121730659,0.0002099962700269,-0.0397039336451291,-1.4444663857614672,alpha052,0.0172953471446194,0.4899083674815168
78,alpha146,2.6549966,1.2453804039465497,1.7729454002437683,1.8911074792399936,0.0019765117318696,0.6165967404507574,0.0032055176458194,0.4465574867027155,0.6551995799729198,-0.0022674558751925,-1.3930348496620522,alpha146,0.0019765117318696,0.4847994836069615
29,alpha054,-0.95042413,0.8205445453837248,-0.4561403279300617,-0.1953399724258765,0.0354142029486623,0.5832698546080457,0.0607166694264707,8.45837905007481,2.900831017685312e-17,-0.0633885204667184,-1.3650787994322948,alpha054,0.0354142029486623,0.47421570512446093
25,alpha044,1.0734619,2.2771246318848384,1.5492652024644396,1.6332839081899737,0.0011384150860722,0.5975527422308841,0.0019051290465544,0.2654016395708188,0.7907028923453732,0.0005098971376675,-1.3291005419026882,alpha044,0.0011384150860722,0.46619049059828277
58,alpha111,0.9015,-0.8636261796331876,0.9750822800763762,0.3376520290305827,0.0258586784663223,0.4859099831705753,0.0532170141835609,7.413609510035531,1.279547630554723e-13,-0.0538309316664947,-0.9996492299360796,alpha111,0.0258586784663223,0.45424582636502375
103,alpha188,1.133537,1.564007297868668,0.3266420325842089,1.008062128171589,0.0099093282238826,0.5951887847431121,0.0166490506506429,2.3193627476153558,0.0203857033400959,-0.0139016554740919,-1.3353651991587598,alpha188,0.0099093282238826,0.4516448662869801
64,alpha120,-1.0004201,1.0633078931339104,-0.4561403279300617,-0.1310841761108427,0.0284700744126495,0.5534876892490311,0.0514375928600644,7.165720088792682,8.015226951127385e-13,-0.0551771290801526,-1.3539945390877026,alpha120,0.0284700744126495,0.44771188785553706
108,alpha161,2.2976599,1.3971074962904155,-0.2993352100857495,1.1318107200556895,-0.0094103366552381,0.6233721798853671,-0.015095855989224,-2.1029887384852493,0.0354795965864082,0.0120913955027083,-1.4145399731754178,alpha161,0.0094103366552381,0.43850528715893033
113,alpha135,0.41865826,0.3805359775865135,1.1144399971263566,0.6378780770812106,0.0196688635770019,0.6719772248739238,0.0292701342380945,4.077593395207515,4.568567400291149e-05,-0.0487881671155143,-1.5005186304973368,alpha135,0.0196688635770019,0.4313672498026551
15,alpha028,0.93329316,2.0950521210721997,-0.4561403279300617,0.8574016523061784,-0.0200425763195579,0.594167655645463,-0.0337321901135548,-4.699197977503708,2.6297687339920744e-06,0.0525395382789524,-1.3105559904729396,alpha028,0.0200425763195579,0.4301756891356122
45,alpha091,-0.6610611,1.8826341917907865,-0.4561403279300617,0.2551442519161298,0.0146119522643232,0.497440826092025,0.0293742521680761,4.092097960856662,4.292154742564324e-05,-0.0301200860215844,-1.0071557690298023,alpha091,0.0146119522643232,0.42107733306693057
136,alpha078,0.40485382,1.8978069010251728,-0.4561403279300617,0.6155067979652976,0.0089344443358996,0.6632231452075327,0.0134712493079593,1.876666391636786,0.0605788246698293,-0.0291308905580163,-1.4920557834408164,alpha078,0.0089344443358996,0.41930363573460305
36,alpha073,-0.3557619,1.609525425571828,1.683778803047126,0.9791807809919828,0.0074334490077612,0.4878532813859678,0.0152370585407219,2.1226595260084777,0.0337950186770257,-0.0085812636848092,-0.9916989258388788,alpha073,0.0074334490077612,0.41598366507910517
