expr,direction_by_ic_mean,bars,total_return,ann_return,ann_vol,sharpe,max_drawdown,win_rate,avg_win,avg_loss
"gp_mean6(alpha066, alpha137, alpha191, alpha013, alpha013, alpha120)",long_top/short_bottom,3264,0.08493363857269287,0.11464951516465116,0.1252515969551758,0.915353719647033,-0.10542327165603638,0.5143995098039216,0.00117212173063308,-0.0011861990205943584
"gp_max(alpha013, alpha002)",long_top/short_bottom,3264,0.08105754852294922,0.10905232046270408,0.12023149602415996,0.9070195753098715,-0.0880279541015625,0.5128676470588235,0.001166449743323028,-0.0011753743747249246
"gp_vneg(gp_mean7(alpha096, alpha013, alpha191, alpha049, alpha096, gp_mean4(alpha096, alpha120, alpha002, alpha096), alpha191))",long_bottom/short_top,3264,0.08485150337219238,0.1161836150944644,0.1363928290629413,0.8518308175926833,-0.12141233682632446,0.5275735294117647,0.0012625096132978797,-0.0013521796790882945
"gp_sin(gp_mean7(alpha096, alpha013, alpha191, alpha002, alpha146, alpha096, alpha191))",long_top/short_bottom,3264,0.07826030254364014,0.10799996109620769,0.13758121966373063,0.7849905776397096,-0.12009119987487793,0.5245098039215687,0.0012719297083094716,-0.0013495621969923377
"gp_mean6(alpha096, alpha137, alpha191, alpha183, alpha013, alpha120)",long_top/short_bottom,3264,0.07121443748474121,0.09740765784122463,0.12623849250112498,0.7716161363409546,-0.1437675952911377,0.5238970588235294,0.001157277380116284,-0.0012250307481735945
"gp_sin(gp_mean7(alpha096, alpha054, alpha191, alpha127, alpha013, alpha096, alpha191))",long_top/short_bottom,3264,0.07281076908111572,0.10008282282111747,0.130882532902209,0.7646766959797147,-0.13656669855117798,0.5257352941176471,0.001209060661494732,-0.0012903943425044417
"gp_mean6(alpha066, alpha013, alpha191, alpha038, alpha013, alpha120)",long_top/short_bottom,3264,0.06860077381134033,0.0944515305282756,0.12879156154729332,0.7333673836510805,-0.12064701318740845,0.5177696078431373,0.0011972029460594058,-0.001239015138708055
"gp_tan(gp_mean3(alpha191, alpha002, alpha111))",long_top/short_bottom,3264,0.05964314937591553,0.0810613536669893,0.11301311198714203,0.717273883018211,-0.07315558195114136,0.5110294117647058,0.0010673245415091515,-0.0010759396245703101
"gp_sin(gp_mean7(alpha137, alpha054, alpha191, alpha146, alpha096, alpha096, alpha191))",long_top/short_bottom,3264,0.060912132263183594,0.08637935109082928,0.13996827594514735,0.6171352080144273,-0.1817362904548645,0.5180759803921569,0.0012841160641983151,-0.0013378068106248975
"gp_sin(gp_mean7(alpha096, alpha054, alpha013, alpha146, alpha096, gp_delta(alpha022), alpha191))",long_top/short_bottom,3264,0.04978370666503906,0.07126843841317965,0.1328475864801731,0.536467694306333,-0.17314857244491577,0.5223651960784313,0.0012192464200779796,-0.0012976806610822678
"gp_tan(gp_mean6(alpha191, alpha135, alpha184, alpha054, alpha022, alpha184))",long_top/short_bottom,3264,0.043209075927734375,0.06251721150497946,0.1295342650159959,0.4826306884688723,-0.16648608446121216,0.5248161764705882,0.0011810117866843939,-0.0012727162102237344
"gp_mean3(gp_prod_10(safe_truediv(alpha165, alpha165)), gp_mean5(gp_sin(volume), alpha054, alpha165, alpha166, alpha013), gp_stddev_10(alpha002))",long_top/short_bottom,3264,0.040949106216430664,0.05879403839731423,0.12287846747261878,0.4784730767448366,-0.1596992015838623,0.5214460784313726,0.001062897383235395,-0.0011285545770078897
"gp_tan(gp_mean6(alpha191, alpha135, alpha013, alpha054, alpha022, alpha184))",long_top/short_bottom,3264,0.03802609443664551,0.05632641559716056,0.13191514146522224,0.4269897676000318,-0.15195786952972412,0.5266544117647058,0.0011845564004033804,-0.001289250678382814
"gp_mean6(alpha066, alpha137, alpha191, gp_gt(alpha191, alpha146), alpha013, alpha120)",long_top/short_bottom,3264,0.03703582286834717,0.05455818431843862,0.1280708570984456,0.4259999937105191,-0.1368522047996521,0.5134803921568627,0.0011759569169953465,-0.0012140428880229592
"gp_sin(gp_mean7(alpha096, alpha013, alpha191, alpha066, alpha146, alpha191, alpha191))",long_top/short_bottom,3264,0.035921454429626465,0.054083105824528355,0.13465437426005494,0.4016438836222199,-0.13068020343780518,0.5171568627450981,0.0012579612666741014,-0.001320304349064827
"gp_mean5(alpha191, alpha013, alpha162, alpha013, alpha120)",long_top/short_bottom,3264,0.029257774353027344,0.045067592412475044,0.13007068332069643,0.34648539749236507,-0.15136921405792236,0.508578431372549,0.001215737545862794,-0.0012359346728771925
"gp_min(alpha191, alpha002)",long_top/short_bottom,3264,0.02782618999481201,0.044466886116870885,0.1385934111256554,0.32084415670060307,-0.14195764064788818,0.5140931372549019,0.0012957407161593437,-0.001348696881905198
"gp_mean6(alpha066, gp_signedpower(gp_mean2(gp_log(alpha054), alpha162)), alpha191, alpha191, alpha013, alpha120)",long_top/short_bottom,3264,0.024278759956359863,0.03887736466104075,0.13045096476472,0.29802282207080305,-0.14132940769195557,0.5196078431372549,0.001219104859046638,-0.001298932358622551
"gp_mean6(alpha066, gp_signedpower(gp_mean2(alpha184, gp_sin(alpha135))), alpha191, alpha013, alpha013, alpha120)",long_top/short_bottom,3264,0.02389848232269287,0.03825568850230132,0.12936226461479186,0.29572525354451,-0.1663731336593628,0.5202205882352942,0.0011942277196794748,-0.001275483868084848
"gp_mean5(alpha191, alpha013, alpha002, alpha054, alpha183)",long_top/short_bottom,3264,0.022489309310913086,0.036985904769535116,0.13302016346859108,0.27804735616843745,-0.15588194131851196,0.5229779411764706,0.0012319195084273815,-0.0013317186385393143
"gp_mean3(alpha111, gp_stddev_05(alpha072), gp_sub(alpha166, gp_add(alpha054, alpha111)))",long_bottom/short_top,3264,0.02260768413543701,0.037419120322942145,0.13497517851531765,0.277229641290644,-0.18772614002227783,0.5337009803921569,0.001183372805826366,-0.0013348861830309033
"gp_mean6(gp_log(alpha054), alpha165, alpha191, alpha022, alpha013, alpha120)",long_top/short_bottom,3264,0.020868778228759766,0.03356580231624129,0.12245438757676722,0.27410861285144833,-0.1644771695137024,0.5159313725490197,0.0011420464143157005,-0.0012003035517409444
"gp_mean6(alpha184, alpha137, alpha191, alpha022, alpha013, alpha120)",long_top/short_bottom,3264,0.021317005157470703,0.03537323442175677,0.131961756323826,0.26805671133197895,-0.16972756385803223,0.515625,0.0012223805533722043,-0.0012834444642066956
"gp_sin(gp_mean7(alpha096, alpha054, alpha191, alpha146, alpha002, alpha096, alpha191))",long_top/short_bottom,3264,0.021091461181640625,0.03574501596726809,0.1366280322933655,0.2616228556268524,-0.1474098563194275,0.5199142156862745,0.001267890096642077,-0.001354931853711605
