IC mean,IC std,IR,t_value,p,IC Skew,IC kurtosis,Alpha_index
-0.00019739991232539124,0.3137739129083686,-0.0006291151182572592,-0.08764140369716321,0.9301625976653375,-0.01673720893737044,-0.40780908499960367,alpha001
0.039078951973427284,0.5771408932483922,0.06771128580661555,9.43279212661509,4.430609196700639e-21,-0.07959451132176625,-1.278429988037377,alpha002
-0.0026029445643641173,0.6145291550698115,-0.0042356730236312685,-0.5900674115439912,0.5551523263488249,0.005159599280729207,-1.3900435997550242,alpha003
0.0164375156046676,0.6166265526697541,0.02665716475150077,3.7135832053756377,0.00020491740210179754,-0.028960306188924288,-1.2928227569502986,alpha004
0.007266589801630822,0.452393081357007,0.016062557322569608,2.237658943272264,0.025254606412862684,-0.006728595665810211,-0.909898021219036,alpha005
-0.0016941352620964238,0.591503932178648,-0.002864114961766231,-0.39899701710330465,0.6898997925143511,0.0016252826964198233,-1.435758568306857,alpha006
0.0024532528281470613,0.42479048600369523,0.005775206622979123,0.8045383116545421,0.42109600849954343,0.0036235124372676155,-0.8478966107412416,alpha007
0.0035471879642520548,0.6223747163905136,0.005699440981189129,0.793983475177421,0.4272147600915027,0.010481430502774995,-1.4506202679968028,alpha008
0.005418989281471333,0.4985221348990961,0.010870107668475282,1.514303927464837,0.12996505897568172,-0.014181677631339549,-1.090801029867897,alpha009
0.004289308286671981,0.43099426812289704,0.00995212373787044,1.3864204957766677,0.1656344690126469,-0.012006453401986314,-1.1104554750321705,alpha010
-0.0011403153498053304,0.49336727240018596,-0.0023112910271850867,-0.3219836626026316,0.747468539534627,0.0019472287020415612,-1.0318233739460183,alpha011
-0.012731700776000922,0.5270173917685286,-0.024158027751753616,-3.365430906483027,0.0007657233105352005,0.03908543381560369,-1.1740876853922393,alpha012
0.0331929883986976,0.5435547183465744,0.06106650770996254,8.507114674672623,1.9108307441092912e-17,-0.07121232066838627,-1.2033923252947167,alpha013
-0.01012221027274861,0.6592688278451455,-0.01535369161292455,-2.138907563718435,0.03245559941424562,0.00957841870867995,-1.491657032249042,alpha014
-0.0025440066261238964,0.33946906827416146,-0.007494074906610666,-1.0439921489193476,0.2965020264929511,-0.010470044978588427,-0.6073416788538935,alpha015
0.004403884330718968,0.31600507122119786,0.013936119169544365,1.9414269513872364,0.05222096808699761,0.010436549106114381,-0.4670279921067273,alpha016
-0.0019122261718385537,0.5178133101603892,-0.0036928872516742654,-0.5144524635310785,0.6069415459295008,0.0018679363122256968,-1.126034378247778,alpha017
-0.009977472141487443,0.6646652313662472,-0.015011274353825205,-2.091205754674753,0.03652259457735389,0.007482962663397405,-1.498254478974214,alpha018
-0.00997802182473793,0.6648474486411379,-0.015007986937652713,-2.090747787985455,0.03656365455655697,0.007469240506522817,-1.498625123777967,alpha019
-0.006754263048680224,0.6675597664074572,-0.010117840212313869,-1.40950629361316,0.15870153851435184,0.007989325204087684,-1.5066247956411554,alpha020
0.013839789228587796,0.6647540331896848,0.020819413704314702,2.900331891963782,0.003731861070909035,-0.03577328107724485,-1.4982452856915733,alpha021
-0.010425629622994882,0.6589853901374971,-0.015820729532136632,-2.203970153428463,0.027538140745893967,0.018915595010237603,-1.4758703943759124,alpha022
0.01124782842417121,0.537662435602143,0.020919870311517035,2.91432640236477,0.003568641235614096,-0.019592683908997745,-1.2018214694997202,alpha023
0.013173742877783981,0.6686583872542393,0.019701753733891356,2.744631789039258,0.006063452482614596,-0.03354100374825754,-1.5048036036801065,alpha024
-0.00841916042040635,0.4912575205534269,-0.017137977675989027,-2.387474687009715,0.01697408258834793,0.016635907196125024,-1.0528398079715815,alpha025
0.015725780536211154,0.6565577326493929,0.023951862500732814,3.336710229664625,0.0008493545621463291,-0.01841554736030498,-1.4839612854596533,alpha026
0.015536955288107663,0.6681060695430556,0.02325522248096624,3.239661998852618,0.0011987289946817452,-0.03730115674683472,-1.4838269887407247,alpha027
-0.02004257631955796,0.594167655645463,-0.03373219011355486,-4.699197977503708,2.6297687339920744e-06,0.052539538278952476,-1.3105559904729396,alpha028
0.003046222113165411,0.5213785848070556,0.005842629908347144,0.8139309827254583,0.4156944771144533,0.0009077734626272445,-1.0898473346613538,alpha029
-0.002282364781130776,0.6714826104182807,-0.0033989931320917498,-0.4735103649690454,0.6358544344348225,-0.005770736117986524,-1.5112403042452696,alpha031
-0.005165701523521191,0.3017563593115476,-0.01711878263413125,-2.3848006447499976,0.01709792230351993,0.01600821772652519,-0.41934364474652597,alpha032
-0.00743439239232604,0.5645408909624251,-0.013168917453706398,-1.83454884061926,0.06658786489571089,0.0264686695515416,-1.2718475728532233,alpha033
0.002287636468738999,0.671343142684431,0.0034075517023852537,0.4747026509154405,0.635004269990528,0.0057711409455653085,-1.510727774047614,alpha034
0.0016318934690708734,0.47941483986895855,0.003403927733060848,0.47419779934006323,0.6353641978342877,-0.0007914048183045952,-0.9828463379550745,alpha035
-0.00033094440191572293,0.38983652001226143,-0.0008489312440643422,-0.11826377035459125,0.9058598869851536,0.0037665071347734638,-0.6786611295422054,alpha036
0.010923793411798187,0.6189207784063091,0.01764974418846694,2.45876837272341,0.01395011998502002,-0.010671824890524479,-1.4343346564675759,alpha037
0.00453350764843979,0.5638202036236325,0.008040697405490717,1.1201415875578722,0.2626672935900689,-0.010157476895605637,-1.2207388787078348,alpha038
0.004351115543135824,0.48085435878630306,0.00904871810690918,1.2605679525653428,0.20747970712994385,-0.007370405119003212,-1.1774077106384326,alpha039
