trade_date,IF00,IF01,IF02,IF03,IH00,IH01,IH02,IH03,IC00,IC01,IC02,IC03,IM00,IM01,IM02,IM03
2018-07-02,2817.5192354491573,2398.3341540163883,2828.6867401038207,2522.887751626365,2057.576029805169,1883.089333255534,2157.9667944521316,2082.8362816008653,3147.1505341016436,1905.1102047910501,3020.5872046649547,2023.1519559612243,,,,
2018-07-03,2780.3483491501597,2370.5396134292196,2788.8655056005614,2489.7448431642383,2034.9555941944968,1864.089552987261,2135.769711857283,2063.791975049525,3119.0342398720277,1886.7537535134777,2995.694266563975,2003.9100215974624,,,,
2018-07-04,2814.1246339606646,2400.6624924948947,2825.4114004693533,2524.4364856666516,2065.8819710059634,1893.1575928848754,2168.412480379119,2089.6634858362518,3150.899373332259,1904.5770298576767,3026.2003181583127,2022.0690765381553,,,,
2018-07-05,2797.1516265182,2385.3827712296975,2809.896633779772,2509.258892071846,2055.1019196602524,1885.200419952009,2157.220674028775,2083.9142612169794,3073.798246489269,1854.0015790348214,2947.494705044921,1969.6743721450555,,,,
2018-07-06,2773.0499559499,2363.409076838794,2784.383461890238,2487.731488911866,2056.1622525795024,1885.200419952009,2156.661083711258,2076.9073937122407,3031.5613244910014,1831.8367353760098,2910.277322099829,1949.1829615239067,,,,
2018-07-09,2847.731188696745,2422.9272291956113,2857.3028653312713,2557.1147739166922,2117.308117589602,1942.362152041173,2227.169463718424,2142.484487025819,3116.535013718284,1879.974815074872,2977.878732432882,1999.4119070708691,,,,
2018-07-10,2892.8793884937013,2467.165660287231,2911.604548744807,2602.647554701109,2145.4069399497344,1968.507148820592,2258.879581711065,2178.417140896273,3156.0227869474334,1907.6999116102927,3027.9086570475956,2020.8196002807683,,,,
2018-07-11,2837.8868443801152,2418.9981580131316,2822.82560602109,2539.9238260695142,2104.760844711807,1781.5947805403987,2180.5369372586583,2136.3759358678417,3073.423362566207,1858.4954820446835,2952.4976975063923,1971.2570420710792,,,,
2018-07-12,2876.076111125661,2442.2815427981946,2885.401831669069,2583.2883791975305,2131.092445539856,1953.2423680922354,2237.4286195395725,2164.942395694853,3135.154248563674,1899.0929448286925,3000.4532106126917,2012.1565648962173,,,,
2018-07-13,2940.912999555877,2506.6018932669313,2954.873509179084,2634.396602526978,2169.441152786074,1991.7291024818148,2283.8746158935,2200.8750495653067,3219.0032860217725,1945.40299618456,3090.7511233319315,2065.8840439638634,,,,
2018-07-16,2922.921611666864,2491.90425662136,2933.1528358136698,2619.8385025482867,2148.941383013902,1972.242148360509,2262.6101838278464,2180.213773589796,3219.0032860217725,1943.574967841565,3084.1618161875545,2061.4692278544294,,,,
2018-07-17,2890.163707302907,2460.617208316432,2886.4361494483746,2578.487303672643,2131.622611999481,1956.3278024947758,2247.501245254882,2166.0203753109663,3196.760173253454,1931.8451193073488,3065.0040157863104,2050.9736272923774,,,,
2018-07-18,2903.742113256879,2468.6208718362973,2897.986031317285,2587.4699611063033,2134.450166450815,1958.763671759939,2248.8069559957553,2166.918691657728,3217.7536729449007,1943.7273035368148,3084.405864600309,2062.052316774543,,,,
2018-07-19,2899.8383215451117,2464.4007583440048,2892.986828717309,2582.978632389473,2136.924276595732,1962.498671299856,2255.148979594284,2173.027242815705,3174.7669831005105,1916.8400533252666,3045.114070146802,2036.646299541005,,,,
